easom,3.26282812,2.91412816,-0.90492656

beale,2.825975590902183,0.4319835292520852,0.014151185255640703

bukin_function,0.0,0.0,0.1

camel6,0.003995088846221521,0.7055411958229988,-0.997097892763693

crossit,-1.3456468570163895,1.3680367368288961,-2.0625685452295044

eggholder,5.0,5.0,-49.033064282382774

holdertable,5.0,0.050303982992480165,-1.7305184185911768

levy13,0.9995649942540322,0.027421737642792283,0.9737288327334251

michalewicz,-4.951729867300575,-4.142790288875404,-1.750735028895526

rosenbrock,0.010566760208940606,0.0023076952660784707,0.9794603946642038

schewefel,5.0,5.0,830.0983086845278

stybtang,2.711726032938388,2.7366531003623185,-50.03962146958125

mccormick_function,-3.690028529655752,-4.708394644276753,-5.054290946006519

bukin_function,0.0,0.0,0.1
eggholder,585.7851913412525,121.13903714445811,-669.1820144335129
holdertable,-10.0,-9.630836903569117,-16.266740481848707
schewefel,416.1890257015131,175.80708838409748,309.562518947091
shubert,6.0,-0.7964735917347704,-108.55577351617116
mccormick_function,-3.559886202836579,-4.5909332526955975,-5.030712007277408
aggregation,31.87790748047541,23.2200408830063,15.718852507472553,24.516316330442333,7.717621950594396,9.294028475425897,4.8903129252887565,2.293794082195408,9.404668085541546,22.28526735467887,31.393142195733216,9.954435740814896,18.322111174117033,1.95,3501.4499034583455
